,Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
235,235,11830,0,10462.665397998036,18797.157424976656,14220.0,339803699,1.424,339803544.0,-83.27448290267454,12-1
236,236,11879,0,10481.250654872883,18718.897451592147,14280.0,339803544,1.424,339803544.0,-76.64081195925162,12-1
237,237,11929,0,10569.834758996867,18727.49143184298,14340.0,339803544,1.424,339303680.0,5.54120477803895,12-1
238,238,11978,0,10658.352291444437,18736.718048657865,14400.0,339303680,1.424,339903680.0,5.950730973829759,1-2
239,239,12026,0,10746.919847609672,18745.480887360343,14460.0,339903680,1.424,339903680.0,5.650432026125139,1-2
240,240,12076,0,10835.497718740762,18754.138874764136,14520.0,339903680,1.424,349603608.0,5.58260575653217,1-2
241,241,12126,0,10904.560945415338,18753.62269522176,14580.0,349603608,1.424,349603608.0,-0.4282215007626018,1-2
242,242,12176,0,10971.29651454283,18694.73836952103,14640.0,349603608,1.424,331303496.0,-41.423665625002904,1-2
243,243,12226,0,11037.691613756237,18635.471151309343,14700.0,331303496,1.424,331303342.0,-41.75351886082475,1-2
244,244,12276,0,11104.227894207535,18576.36260405079,14760.0,331303342,1.424,331303342.0,-41.61678847329953,1-2
245,245,12326,0,11170.942747169402,18517.454808350423,14820.0,331303342,1.424,331303342.0,-41.44381890574347,1-2
246,246,12376,0,11237.657600131268,18458.54701265005,14880.0,331303342,1.424,334203686.0,-41.443818905745225,1-2
247,247,12426,0,11207.074812353112,18394.131476182785,14940.0,334203686,1.424,334203686.0,-115.39712731197423,1-2
248,248,12475,0,11147.434052439356,18328.071051139425,15000.0,334203686,1.424,334203686.0,-132.07639644586206,1-2
249,249,12525,0,11087.7932925256,18262.010626096064,15060.0,334203686,1.424,334203686.0,-132.07639644586206,1-2
250,250,12575,0,11028.152532611844,18195.9502010527,15120.0,334203686,1.424,334203686.0,-132.07639644585964,1-2
251,251,12625,0,10968.511772698086,18129.88977600934,15180.0,334203686,1.424,368703688.0,-132.07639644586297,1-2
252,252,12675,0,10930.644522595469,18051.07144716052,15240.0,368703688,1.424,338203413.0,-115.66135714853058,1-2
253,253,12725,0,10948.995845683894,17964.743701159146,15300.0,338203413,1.424,340703707.0,-77.99886065493422,1-2
254,254,12775,0,10980.908921644608,17881.925989139036,15360.0,340703707,1.424,338303707.0,-68.92627101352039,1-2
255,255,12824,0,11017.9159623841,17800.984882754983,15420.0,338303707,1.424,338303505.0,-65.42967162496336,1-2
256,256,12874,0,11063.88035472774,17728.918285767413,15480.0,338303505,1.424,338303505.0,-57.47009027622105,1-2
257,257,12924,0,11144.154558347052,17690.48584851338,15540.0,338303505,1.424,338303505.0,-25.58344383988997,1-2
258,258,12973,0,11224.428761966365,17652.05341125935,15600.0,338303505,1.424,338303505.0,-25.58344383988997,1-2
259,259,13023,0,11304.702965585677,17613.620974005313,15660.0,338303505,1.424,337903505.0,-25.583443839892084,1-2
260,260,13073,0,11384.949155524426,17575.130079870396,15720.0,337903505,1.424,337903505.0,-25.62517488646038,1-2
261,261,13123,0,11465.19488539721,17536.638225703777,15780.0,337903505,1.424,337903505.0,-25.62586023134201,1-2
262,262,13172,0,11545.440615269992,17498.146371537157,15840.0,337903505,1.424,323903379.0,-25.625860231342514,1-2
263,263,13222,0,11631.205327719294,17474.863052274755,15900.0,323903379,1.424,323903379.0,-15.188528865405166,1-2
264,264,13271,0,11717.461326986626,17452.933560935602,15960.0,323903379,1.424,323903240.0,-14.264512298080458,1-2
265,265,13321,0,11719.904260437415,17373.444192014933,16020.0,323903240,1.424,324003241.0,-88.23969248038179,1-2
266,266,13368,0,11720.215177650309,17284.69644699384,16080.0,324003241,1.424,324103242.0,-89.79927184413597,1-2
